BD_mean,ln_BD_mean,clay_mean,ln_clay_mean,FF,HCl.Pi_mean,HCl.Po_mean,HCl.PSR_mean,ln_HCl.Pi_mean,ln_HCl.Po_mean,ln_HCl.PSR_mean,LOI_mean,ln_LOI_mean,MM.MUP_mean,ln_MM.MUP_mean,MM.P_mean,ln_MM.P_mean,Ox.P_mean,Ox.Al_mean,Ox.Fe_mean,Ox.Mn_mean,Ox.PSR_mean,Ox.SPSC_mean,Ox.PSC_mean,Ox.P2Fe_mean,Ox.P2Al_mean,Ox.Al2Fe_mean,ln_Ox.P_mean,ln_Ox.Al_mean,ln_Ox.Fe_mean,ln_Ox.Mn_mean,ln_Ox.PSR_mean,ln_Ox.PSC_mean,ln_Ox.P2Fe_mean,ln_Ox.P2Al_mean,ln_Ox.Al2Fe_mean,sand_mean,ln_sand_mean,silt_mean,ln_silt_mean,TP.ign_mean,ln_TP.ign_mean,WEPw_mean,ln_WEPw_mean,YSF_mean,DO.mgl_mean,lnSRP,
0.11515321,-2.16149178,11.25,2.420368129,0.111111111,331.5817967,1191.65446,0.08629226,5.803874526,7.083097923,-2.450015374,0.622924179,-0.473330471,15.07,2.712706013,13.765,2.622129139,547.8127074,2021.551738,2745.087409,83.0432264,0.142714549,335.5351465,1920.321422,0.369713718,0.236101245,1.567396837,6.305933454,7.611620683,7.917568196,4.419361272,-1.946908806,7.560247858,-0.995026308,-1.443494563,0.449416177,1.455,0.375005901,87.295,4.469293187,1523.236257,7.328592467,1.153088189,0.142443725,24.51944444,0.634166667,-1.472995604,0.22923775
0.11515321,-2.16149178,11.25,2.420368129,0.111111111,331.5817967,1191.65446,0.08629226,5.803874526,7.083097923,-2.450015374,0.622924179,-0.473330471,15.07,2.712706013,13.765,2.622129139,547.8127074,2021.551738,2745.087409,83.0432264,0.142714549,335.5351465,1920.321422,0.369713718,0.236101245,1.567396837,6.305933454,7.611620683,7.917568196,4.419361272,-1.946908806,7.560247858,-0.995026308,-1.443494563,0.449416177,1.455,0.375005901,87.295,4.469293187,1523.236257,7.328592467,1.153088189,0.142443725,24.51944444,6.516666667,-2.191739398,0.11172225
0.286744613,-1.249163311,15,2.708050201,0.111111111,428.6586886,947.3017614,0.103224138,6.060661005,6.853617692,-2.270852557,0.28296458,-1.262433549,11.465,2.439298916,8.195,2.103524212,816.6048865,2255.079001,2830.804362,85.04054164,0.196694956,139.325068,2078.108597,0.530279699,0.315655481,1.681939435,6.705155363,7.720940285,7.948316177,4.443128103,-1.626101197,7.639213431,-0.634350677,-1.153103909,0.519947553,2.965,1.086877032,82.035,4.407145985,1375.96045,7.226907275,0.810010031,-0.210708647,24.51944444,0.422,-0.895150764,0.408546
0.286744613,-1.249163311,15,2.708050201,0.111111111,428.6586886,947.3017614,0.103224138,6.060661005,6.853617692,-2.270852557,0.28296458,-1.262433549,11.465,2.439298916,8.195,2.103524212,816.6048865,2255.079001,2830.804362,85.04054164,0.196694956,139.325068,2078.108597,0.530279699,0.315655481,1.681939435,6.705155363,7.720940285,7.948316177,4.443128103,-1.626101197,7.639213431,-0.634350677,-1.153103909,0.519947553,2.965,1.086877032,82.035,4.407145985,1375.96045,7.226907275,0.810010031,-0.210708647,24.51944444,5.046666667,-1.845582276,0.157933333
0.631875857,-0.459062333,7.5,2.014903021,0.111111111,407.9582483,582.7282267,0.113755964,6.011164837,6.367720914,-2.173699789,0.179533035,-1.717396047,6.925,1.935138052,4.445,1.491779869,505.0955918,1194.591173,4017.105074,188.9753607,0.140797241,321.8285228,1797.661119,0.227564885,0.369283078,0.616400116,6.224747702,7.085559291,8.298316791,5.24161664,-1.960434433,7.49424172,-1.480319871,-0.996191779,-0.483858988,24.085,3.18158924,68.415,4.225592099,990.686475,6.898398112,0.451187675,-0.795871895,24.51944444,0.658181818,-1.927751653,0.145474909
0.631875857,-0.459062333,7.5,2.014903021,0.111111111,407.9582483,582.7282267,0.113755964,6.011164837,6.367720914,-2.173699789,0.179533035,-1.717396047,6.925,1.935138052,4.445,1.491779869,505.0955918,1194.591173,4017.105074,188.9753607,0.140797241,321.8285228,1797.661119,0.227564885,0.369283078,0.616400116,6.224747702,7.085559291,8.298316791,5.24161664,-1.960434433,7.49424172,-1.480319871,-0.996191779,-0.483858988,24.085,3.18158924,68.415,4.225592099,990.686475,6.898398112,0.451187675,-0.795871895,24.51944444,7.656666667,-3.776487373,0.022903
0.732208986,-0.311689305,11.25,2.420368129,0.555555556,502.549398,644.085483,0.173063337,6.21969394,6.467831455,-1.754097641,0.112596233,-2.183947014,5.175,1.643839339,8.51,2.141241943,533.3727271,1503.685711,2285.002924,148.0969106,0.178109075,154.6415214,1495.683149,0.420817699,0.308910417,1.361898102,6.27922048,7.315674514,7.734122583,4.997866861,-1.725359136,7.310338337,-0.865555557,-1.174703956,0.30887939,5.7,1.740466175,83.05,4.419442836,1146.634881,7.044586741,0.330231307,-1.10796194,9.683333333,0.206666667,-0.11623233,0.890268364
0.732208986,-0.311689305,11.25,2.420368129,0.555555556,502.549398,644.085483,0.173063337,6.21969394,6.467831455,-1.754097641,0.112596233,-2.183947014,5.175,1.643839339,8.51,2.141241943,533.3727271,1503.685711,2285.002924,148.0969106,0.178109075,154.6415214,1495.683149,0.420817699,0.308910417,1.361898102,6.27922048,7.315674514,7.734122583,4.997866861,-1.725359136,7.310338337,-0.865555557,-1.174703956,0.30887939,5.7,1.740466175,83.05,4.419442836,1146.634881,7.044586741,0.330231307,-1.10796194,9.683333333,4.47,-0.825778407,0.437894
0.196089127,-1.629185995,16.25,2.788092909,0,498.9447564,223.1808473,0.113531802,6.212495381,5.407982417,-2.175672289,0.324487115,-1.12550945,11.2895,2.42387309,5.7888,1.755925016,644.6376632,1906.407056,3646.126765,112.4098777,0.159315416,323.0250834,2475.732079,0.256657203,0.365556997,0.725607914,6.468688396,7.552975627,8.201420723,4.722151814,-1.836869291,7.814291421,-1.360013924,-1.006333069,-0.320745473,2.84,1.043804052,80.91,4.393337426,722.1256038,6.58219909,2.426184932,0.886320037,25.61481481,0.19,-2.128483338,0.119017667
0.196089127,-1.629185995,16.25,2.788092909,0,498.9447564,223.1808473,0.113531802,6.212495381,5.407982417,-2.175672289,0.324487115,-1.12550945,11.2895,2.42387309,5.7888,1.755925016,644.6376632,1906.407056,3646.126765,112.4098777,0.159315416,323.0250834,2475.732079,0.256657203,0.365556997,0.725607914,6.468688396,7.552975627,8.201420723,4.722151814,-1.836869291,7.814291421,-1.360013924,-1.006333069,-0.320745473,2.84,1.043804052,80.91,4.393337426,722.1256038,6.58219909,2.426184932,0.886320037,25.61481481,4.753333333,-3.139886046,0.04328773
